title,description,objects,objectlinks,lon,lat,bar_lon,bar_lat
"Pine Honey","The MOVING reference member state of this VC (Value Chain) is TURKEY. The reference MOVING Card ID of this VC is VC 11 TR. According to the 2020 TURKSTAT data, the number of enterprises engaged in beekeeping in Mugla is 4741 and the total number of hives is 900,583. It is the preferred region for migratory beekeepers. The beekeeping sector provides employment opportunities for many people.",turkey,http://www.wikidata.org/entity/Q43,36.0,39.0,36.0,39.0
"Mountain landscape and reference chains","The reference mountain chain of this VC is Menteşe Mountains. The reference mountain landscape of this VC is Ula. Muğla province has a Mediterranean climate. It has excellent ecological conditions for agricultural production. Muğla has the longest coastline in Turkey. It is one of the most-visited tourist destinations for both foreign and domestic tourists, due to its unique nature and climate.","turkey, province, destinations, nature, climate","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q5265193, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q7937",36.0,39.0,36.0,39.0
"Geography and population","The size of the area (km2) is 479. The minimum altimetry of the LAU (Local Administrative Unit) is 600. The maximum altimetry of the LAU is 0. The total population (in thousand) is 26.058. The population density (Inhabitants/km2) in the LAU is 54.40083507. The population change rate of the LAU in the last 10 years (%) has been 11.18%. The overall regional population density (Inhabitants/km2) is 85.2. The regional population change rate in the last 10 years (%) has been 13.71%.","population density, altimetry, population","https://www.wikidata.org/entity/Q22856, https://www.wikidata.org/entity/Q1309100, https://www.wikidata.org/entity/Q2625603",28.417663,37.102211,36.0,39.0
"Income and gross value added","The average per capita income (EUR/year) [Province] is 8500. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7265.2. The primary sector share of total GVA/year [Province] is 13.10%. The secondary sector share of total GVA/year [Province] is 22.70%. The tertiary sector share of total GVA/year [Province] is 60.10%. The per capita income (EUR/year) [Region] is 7300. The total Gross Value Added (GVA) (EUR million/year) [Region] is 20539.22. The primary sector share of total GVA/year [Region] is 13.50%. The secondary sector share of total GVA/year [Region] is 37.50%. The tertiary sector share of total GVA/year [Region] is 52.90%.","gross value added, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q994873, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",28.417663,37.102211,36.0,39.0
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 174249. The regional (Region) share of total BPs/year is 83.80%. The number of agricultural holdings in the LAU is 27000. The nearest settlement with population over 100000 (km) is 17. In this region protected areas are present.","tourism industry",https://www.wikidata.org/entity/Q9323634,28.417663,37.102211,36.0,39.0
Employment,"The primary sector share of total employment/year [Province] is Medium. The secondary sector share of total employment/year [Province] is Low. The tertiary sector share of total employment/year [Province] is High. The primary sector share of total employment/year [Region] is 26.50%. The secondary sector share of total employment/year [Region] is 19.50%. The tertiary sector share of total employment/year [Region] is 54.00%.","employment, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q656365, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",28.417663,37.102211,36.0,39.0
"Interest on this VC","Turkey is an important pine honey producer and exporter. Pine honey has a regional reputation and has a Geographical Indication from the Turkish Patent and Trademark Office It is a high quality product. Pine honey can be stored for a long time without its texture being affected. Since the honey does not crystallize for a long time and has a functional food feature, it is wide scope for its use in the medicine and food sectors. Agriculture and tourism are closely interconnected in this area. Beekeeping is a traditional agricultural activity which is found in almost every region of Turkey. Organic honey production is encouraged with the projects developed in recent years.","turkey, agriculture, honey, patent, trademark, office, functional food, medicine, food","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q10987, http://www.wikidata.org/entity/Q253623, http://www.wikidata.org/entity/Q167270, http://www.wikidata.org/entity/Q182060, http://www.wikidata.org/entity/Q752276, http://www.wikidata.org/entity/Q11190, http://www.wikidata.org/entity/Q2095",36.0,39.0,36.0,39.0
"Key local assets","Pine honey has been produced in this region for a long time. 75-80% of Turkey s pine honey is produced in Muğla Province. 68% of Muğla s land area is covered by forests and pine honey production takes place in only 8% of these forested areas. There are 385 forest villages in Muğla and 260 of these are pine honey production areas. ","turkey, honey, province, forest","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q10987, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q4421",36.0,39.0,36.0,39.0
Challenges,"Honey yield is reduced when climatic conditions are unfavorable. Accommodation is a problem for migratory beekeeper. Young people are not much interest beekeeping. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Innovative.",beekeeper,http://www.wikidata.org/entity/Q852389,28.417663,37.102211,36.0,39.0
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. Organic and Rainforest Alliance certified tea increasing in the region. The innovation is related to the whole VC. The land use systems involved are Forestry. The local assets include Natural and cultural.","innovation, rainforest alliance","http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q2034373",28.417663,37.102211,36.0,39.0
"Concluding remarks","90-92% of the world's pine honey is produced in Turkey. Different kinds of honey VC is also present in other MRLs in the Member States such as Switzerland, UK, Austria, Czech Republic, France, Greece, Hungary, Italy, North Macedonia, Romania, Serbia, Slovakia and Spain.","turkey, switzerland, austria, czech republic, france, greece, hungary, italy, romania, serbia, slovakia, spain, honey","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q39, http://www.wikidata.org/entity/Q40, http://www.wikidata.org/entity/Q213, http://www.wikidata.org/entity/Q142, http://www.wikidata.org/entity/Q41, http://www.wikidata.org/entity/Q28, http://www.wikidata.org/entity/Q38, http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q403, http://www.wikidata.org/entity/Q214, http://www.wikidata.org/entity/Q29, http://www.wikidata.org/entity/Q10987",36.0,39.0,36.0,39.0
