title,description,objects,objectlinks,lon,lat,bar_lon,bar_lat
"Valašský frgál","The MOVING reference member state of this VC (Value Chain) is CZECH REPUBLIC. The reference MOVING Card ID of this VC is VC 09 CZ. VC uses now EU PGI label. Behind this label there is specific symbol of the region. Albeit located close to heavy industrialised and polluted region of Ostrava, Vallachian region and Beskydy mountains are juxtaposed: clean air and nature."," czech republic, ostrava"," http://www.wikidata.org/entity/Q213, http://www.wikidata.org/entity/Q8385",16.0,49.5,16.0,50.0
"Mountain landscape and reference chains","The reference mountain chain of this VC is Javorníky/Beskydy (Western Carpathian) mountains. The reference mountain landscape of this VC is LAU 1 Vsetín. Mountain Reference Landscape (LAU 1 - Vsetín) is the area with high share of highlands and forests. The Reference Landscape includes the nature protected area, which is the largest in the Czech Republic (555 km2). The most valuable asset of the Reference Landscape is the unique nature. The Reference Landscape thus provide very attractive conditions for tourism. The nature protected area located in the region is considered one of the most valuable locations in Europe. The landscape is historically known for extensive farming in perennial grassland, namely sheep and cattle.","czech republic, europe, mountain, landscape, vsetín, nature, protected area, grassland","http://www.wikidata.org/entity/Q213, http://www.wikidata.org/entity/Q46, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q107425, http://www.wikidata.org/entity/Q513417, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q473972, http://www.wikidata.org/entity/Q1006733",17.996209032,49.338702987,16.0,50.0
"Geography and population","The size of the area (km2) is 1143. The minimum altimetry of the LAU (Local Administrative Unit) is 173. The maximum altimetry of the LAU is 1206. The total population (in thousand) is 143.334. The population density (Inhabitants/km2) in the LAU is 125.4. The population change rate of the LAU in the last 10 years (%) has been -0.95%. The overall regional population density (Inhabitants/km2) is 131.62. The regional population change rate in the last 10 years (%) has been -1.49%.","population density, altimetry, population","https://www.wikidata.org/entity/Q22856, https://www.wikidata.org/entity/Q1309100, https://www.wikidata.org/entity/Q2625603",18.011299988836573,49.34923775664669,16.0,50.0
"Income and gross value added","The average per capita income (EUR/year) [Province] is 9501.15. The total Gross Value Added (GVA) (EUR million/year) [Province] is 9253.38. The primary sector share of total GVA/year [Province] is 2.60%. The secondary sector share of total GVA/year [Province] is 50.50%. The tertiary sector share of total GVA/year [Province] is 46.90%. The per capita income (EUR/year) [Region] is 9335.88. The total Gross Value Added (GVA) (EUR million/year) [Region] is 18439.35. The primary sector share of total GVA/year [Region] is 2.97%. The secondary sector share of total GVA/year [Region] is 45.43%. The tertiary sector share of total GVA/year [Region] is 51.60%.","gross value added, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q994873, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",18.011299988836573,49.34923775664669,16.0,50.0
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 29759. The regional (Region) share of total BPs/year is 0.51%. The number of agricultural holdings in the LAU is 3815. The nearest settlement with population over 100000 (km) is 45. In this region protected areas are present.","tourism industry",https://www.wikidata.org/entity/Q9323634,18.011299988836573,49.34923775664669,16.0,50.0
Employment,"The primary sector share of total employment/year [Province] is 2.10%. The secondary sector share of total employment/year [Province] is 49.40%. The tertiary sector share of total employment/year [Province] is 48.50%. The primary sector share of total employment/year [Region] is 3.24%. The secondary sector share of total employment/year [Region] is 45.99%. The tertiary sector share of total employment/year [Region] is 50.77%.","employment, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q656365, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",18.011299988836573,49.34923775664669,16.0,50.0
"Interest on this VC","EU Protected Geographical Indication (PGI) label and regional product label. 'Valašský' region refers to Beskydy mountains settled by Italians (Vallachians - valašský). The case is produced on the foothills of Beskydy mountains traditionally about 200 years (mostly using its the most typical /most produced in te area/ fruit for topping - pears). The product is well known througout Czechia because of its territorial identity. It is innovative VC in term of its marketing sing regional name and references to mountain ('tradittional cake from Vallachian region in Beskydy).","protected geographical indication, italians, foothills, fruit","http://www.wikidata.org/entity/Q3104453, http://www.wikidata.org/entity/Q50001, http://www.wikidata.org/entity/Q1354045, http://www.wikidata.org/entity/Q1364",18.011299988836573,49.34923775664669,16.0,50.0
"Key local assets","It is the whole locality symoblically specified - Vallachian region. The cake is known for 200 years but its popularity is because of the link to this region (the region sells doue to the symbol of the territory related to mountains) - region is the symbolic asset. ","cake, popularity, symbol, territory, asset","http://www.wikidata.org/entity/Q13276, http://www.wikidata.org/entity/Q1357284, http://www.wikidata.org/entity/Q80071, http://www.wikidata.org/entity/Q183366, http://www.wikidata.org/entity/Q46737",18.011299988836573,49.34923775664669,16.0,50.0
Challenges,"The cake utilises the regional name ('Vallachian'), it means the VC rotates about the name of the territory (not around the process of production or raw materials used) linked with the region of Beskydy mountains. The Beskydy mouniains are linked with the name Vallachian (valašský, lašský in Czech). Because of the popularity of this cake (e.g. sold on farm marekts throughout Czechia or in supermarkets) it faces problems with fake products of similar type (using name 'frgále' but not being form the locality). Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.","cake, territory, farm","http://www.wikidata.org/entity/Q13276, http://www.wikidata.org/entity/Q183366, http://www.wikidata.org/entity/Q131596",18.011299988836573,49.34923775664669,16.0,50.0
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. The cake is not innovative. It was innovative when it originated 200 years ago because the name 'frgále' was used by local people for spoiled scone type cake (true name was oven-done cake for those well done, 'frgale' reffered by local Vallachian people to neme spoiled cake. The innovation is related to New marketing strategies. The land use systems involved are symbolic specificity of the territory (Vallachian region) - this region is considered to be traditional mounain region and people using specific dialect (Vallachian). Two products symbolise the region: 'frgále' cake and pblum brandy (spirit). The local assets include Social and cultural.","innovation, cake, people, scone, brandy","http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q13276, http://www.wikidata.org/entity/Q2472587, http://www.wikidata.org/entity/Q869660, http://www.wikidata.org/entity/Q146470",18.011299988836573,49.34923775664669,16.0,50.0
