title,description,objects,objectlinks,lon,lat,bar_lon,bar_lat
"Pine Nuts","The MOVING reference member state of this VC (Value Chain) is TURKEY. The reference MOVING Card ID of this VC is VC 17 TR. Kozak type pine nuts are a very special and valuable type in terms of export. Turkey is very important country to producers and exporters of pine nuts (Pinus pinea L.)( Çetin, 2003; Öztürk and Küçükerdem, 2017) .The pick up activity of pine nuts is done by small family farmers using with special pole/stake while the processing is done by cooperatives and firms, with specific rules. The cooperative activities have an important impact on the regional SES. The perspectives of the product bring together the farmers, the local government, cooperatives and firms.","turkey, export","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q182722",36.0,39.0,36.0,39.0
"Mountain landscape and reference chains","The reference mountain chain of this VC is Bergama, İzmir. The reference mountain landscape of this VC is Bergama. Kozak is located northwest of Bergama and rises up to 500 m above sea level. Soil structure is suitable for peanut pine has high permeability, granular, granite, gneiss, crystallized schists on the common structure has the soil. In Kozak Plateau of Madra Mountains region pinus pinea production is essential.","madra mountains, mountain, bergama, landscape, sea, soil structure, peanut, granite, gneiss","http://www.wikidata.org/entity/Q4833452, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q737822, http://www.wikidata.org/entity/Q107425, http://www.wikidata.org/entity/Q165, http://www.wikidata.org/entity/Q889539, http://www.wikidata.org/entity/Q37383, http://www.wikidata.org/entity/Q41177, http://www.wikidata.org/entity/Q166409",27.1777296,39.1191544,36.0,39.0
"Geography and population","The size of the area (km2) is 1544. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1344. The total population (in thousand) is 104.944. The population density (Inhabitants/km2) in the LAU is 67.96891192. The population change rate of the LAU in the last 10 years (%) has been 3.74%. The overall regional population density (Inhabitants/km2) is 329.4. The regional population change rate in the last 10 years (%) has been 10.83%.","population density, altimetry, population","https://www.wikidata.org/entity/Q22856, https://www.wikidata.org/entity/Q1309100, https://www.wikidata.org/entity/Q2625603",27.1777296,39.1191544,36.0,39.0
"Income and gross value added","The average per capita income (EUR/year) [Province] is 9600. The total Gross Value Added (GVA) (EUR million/year) [Province] is 37093.1. The primary sector share of total GVA/year [Province] is 44.00%. The secondary sector share of total GVA/year [Province] is 53.60%. The tertiary sector share of total GVA/year [Province] is 54.60%. The per capita income (EUR/year) [Region] is 9500. The total Gross Value Added (GVA) (EUR million/year) [Region] is 37271.31. The primary sector share of total GVA/year [Region] is 4.40%. The secondary sector share of total GVA/year [Region] is 53.60%. The tertiary sector share of total GVA/year [Region] is 54.60%.","gross value added, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q994873, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",27.1777296,39.1191544,36.0,39.0
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 51356. The regional (Region) share of total BPs/year is 100.00%. The number of agricultural holdings in the LAU is 49788. The nearest settlement with population over 100000 (km) is 107. In this region protected areas are not present.","tourism industry",https://www.wikidata.org/entity/Q9323634,27.1777296,39.1191544,36.0,39.0
Employment,"The primary sector share of total employment/year [Province] is 9.30%. The secondary sector share of total employment/year [Province] is 31.00%. The tertiary sector share of total employment/year [Province] is 59.70%. The primary sector share of total employment/year [Region] is 9.30%. The secondary sector share of total employment/year [Region] is 31.00%. The tertiary sector share of total employment/year [Region] is 59.70%.","employment, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q656365, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",27.1777296,39.1191544,36.0,39.0
"Interest on this VC","Peanut pine (Pinus pinea L.), a characteristic tree of Mediterranean climate, is commonly grown in Bergama-Kozak plateau in Turkey. The most efficient peanut pines in Turkey are located in the Kozak plateau (Madra Mountains). There are pine forests up to 740 meters high on granite soils in Bergama, Kozak. Farmers living in Bergama/Kozak pick up pine nutes/cones from october to april every year. The main livelihood of farmers is pine nuts agriculture in this region. The pine nuts agriculture is done in two ways. The first is to pick up in forests which are grown by Ministry of Forestry or local administration. The second is farmers plant in orchards as a culture. Pine nut is very special and very valuable. It is niche market and associated with mountain farming, especially in higher region.","turkey, madra mountains, peanut, tree, bergama, plateau, granite, october, year, agriculture, forestry, second, plant, pine nut, niche market, mountain","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q4833452, http://www.wikidata.org/entity/Q37383, http://www.wikidata.org/entity/Q10884, http://www.wikidata.org/entity/Q737822, http://www.wikidata.org/entity/Q75520, http://www.wikidata.org/entity/Q41177, http://www.wikidata.org/entity/Q124, http://www.wikidata.org/entity/Q577, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q11574, http://www.wikidata.org/entity/Q756, http://www.wikidata.org/entity/Q212933, http://www.wikidata.org/entity/Q1758705, http://www.wikidata.org/entity/Q8502",27.1777296,39.1191544,36.0,39.0
"Key local assets","30% of the pine nut areas of Turkey are located in Kozak/Bergama. Kozak type pine nuts are full body, large, light cream color, soft structure, pointed tip cream colored and blunt pine nut. The altitude, climatic characteristics, traditional process, give to these pine nuts a lot of character, that it has a Geographical Indication by Turkish Patent and Trademark Office. ","turkey, pine nut, bergama, cream, altitude, patent, trademark, office","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q212933, http://www.wikidata.org/entity/Q737822, http://www.wikidata.org/entity/Q13228, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q253623, http://www.wikidata.org/entity/Q167270, http://www.wikidata.org/entity/Q182060",36.0,39.0,36.0,39.0
Challenges,"In recent years, the yield of pine seedlings of Kozak plateau has decreased considerably. The most important problems are pests and diseases, lack of qualified personnel, education, , inadequate advertisement and marketing. For the processing, marketing and promotion of pine nuts product, the number of establishments such as cooperative should be increased. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional.","plateau, education, marketing, cooperative","http://www.wikidata.org/entity/Q75520, http://www.wikidata.org/entity/Q8434, http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q4539",27.1777296,39.1191544,36.0,39.0
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland and Forestry. The local assets include Natural and cultural.",innovation,http://www.wikidata.org/entity/Q174165,27.1777296,39.1191544,36.0,39.0
"Concluding remarks","Pine nuts are not included in other MRLs.",,,27.1777296,39.1191544,36.0,39.0
