title,description,objects,objectlinks,lon,lat,bar_lon,bar_lat
"Pultost cow cheese","The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 08 SCA. Pultost is a sour milk cheese made from cow's milk without the use of rennet. Instead, a self-produced culture of old strains of lactic bacteria is added to start the coagulation. Once the cheese is drained, crumbled and fermented, salt and caraway seeds are added to stop fermentation, giving to it a special character. The cheese can be eaten fresh or matured in wooden containers up to one year. The leftover cream is used to produce sour cream or butter. This cheese is endorsed by the Slowfood Foundation for Biodiversity.","pultost, milk, rennet, self, bacteria, cheese, fermentation, year, cream, sour cream, butter, biodiversity, norway","http://www.wikidata.org/entity/Q1776589, http://www.wikidata.org/entity/Q8495, http://www.wikidata.org/entity/Q326900, http://www.wikidata.org/entity/Q3236990, http://www.wikidata.org/entity/Q10876, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q41760, http://www.wikidata.org/entity/Q577, http://www.wikidata.org/entity/Q13228, http://www.wikidata.org/entity/Q840171, http://www.wikidata.org/entity/Q34172, http://www.wikidata.org/entity/Q47041, https://www.wikidata.org/entity/Q20",8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
"Mountain landscape and reference chains","The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Lesja. Lesja is a high mountainous area with an important water body in altitude, the Lesjaskogsvatnet (Lesjas lake). It has two outflows draining the west to the Rauma river and the east to the Gudbrandsdalslågen river. Besides the Lesjas lake, there are more than 400 lakes within the municipality and most of them are above the treeline and they are habitat of the Norwegian trout. Most of the municipality is above 900 masl, and many traditional summer farms are located along the treeline. These farms are very important for extensive traditional livestock systems during the summer months when animals graze in high altitude pastures.","lesja, water, altitude, lesjaskogsvatnet, lake, municipality, trout","http://www.wikidata.org/entity/Q488405, http://www.wikidata.org/entity/Q283, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q1820743, http://www.wikidata.org/entity/Q23397, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q2258881",8.644722222,62.210555555,14.76093611111111,64.77964194444445
"Geography and population","The size of the area (km2) is 2259.5. The minimum altimetry of the LAU (Local Administrative Unit) is 513. The maximum altimetry of the LAU is 2209. The total population (in thousand) is 1.975. The population density (Inhabitants/km2) in the LAU is 0.87. The population change rate of the LAU in the last 10 years (%) has been -9.15%. The overall regional population density (Inhabitants/km2) is 7.13. The regional population change rate in the last 10 years (%) has been 2.86%.","population density, altimetry, population","https://www.wikidata.org/entity/Q22856, https://www.wikidata.org/entity/Q1309100, https://www.wikidata.org/entity/Q2625603",8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
"Income and gross value added","The average per capita income (EUR/year) [Province] is 44096.75. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7448.29. The primary sector share of total GVA/year [Province] is 7.42%. The secondary sector share of total GVA/year [Province] is 19.70%. The tertiary sector share of total GVA/year [Province] is 72.88%. The per capita income (EUR/year) [Region] is 46253.25. The total Gross Value Added (GVA) (EUR million/year) [Region] is 15265.23. The primary sector share of total GVA/year [Region] is 3.65%. The secondary sector share of total GVA/year [Region] is 23.37%. The tertiary sector share of total GVA/year [Region] is 72.98%.","gross value added, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q994873, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 4752.83. The regional (Region) share of total BPs/year is 18.66%. The number of agricultural holdings in the LAU is 4 271. The nearest settlement with population over 100000 (km) is 212. In this region protected areas are present.","tourism industry",https://www.wikidata.org/entity/Q9323634,8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
Employment,"The primary sector share of total employment/year [Province] is 3.73%. The secondary sector share of total employment/year [Province] is 19.97%. The tertiary sector share of total employment/year [Province] is 76.29%. The primary sector share of total employment/year [Region] is 4.27%. The secondary sector share of total employment/year [Region] is 22.73%. The tertiary sector share of total employment/year [Region] is 73.03%.","employment, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q656365, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
"Interest on this VC","High quality product with high reputation and tradition in the area. It is connected to the natural assets as natural pastures are determinant for the VC.",,,8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
"Key local assets","The natural assets are the mountain pastures. The social asset relates to the cooperation among Pultost producers under the cooperative Pultosts BA, Pultost Innlandet SA and the Slowfood Foundation. The cultural asset includes the traditional knowledge mostly on cheese and butter production, cattle management and the ecological system. ","asset, cooperation, pultost, knowledge, cheese, butter, cattle, management, system","http://www.wikidata.org/entity/Q46737, http://www.wikidata.org/entity/Q380962, http://www.wikidata.org/entity/Q1776589, http://www.wikidata.org/entity/Q9081, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q34172, http://www.wikidata.org/entity/Q830, http://www.wikidata.org/entity/Q2920921, http://www.wikidata.org/entity/Q58778",8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
Challenges,"1) Maintain and energise the VC under a regime where industrial dairies are proliferating; 2) Preserve the artisanal cheese making and strenghten the market al local and national scale. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.","regime, cheese","http://www.wikidata.org/entity/Q5589178, http://www.wikidata.org/entity/Q10943",8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland and Natural land. The local assets include Natural, social and cultural.","innovation, grassland","http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q1006733",8.635888866011713,62.191373020128005,14.76093611111111,64.77964194444445
